"District","FIPS","Year","Variable","Measure Type","Value"
"Waterbury School District","900980070","2018-2019","Other Rate","Percent","13.6"
"Waterford School District","901180280","2010-2011","Total Cohort Count","Number","272"
"Waterford School District","901180280","2010-2011","Four Year Graduation Count","Number","248"
"Waterford School District","901180280","2010-2011","Four Year Graduation Rate","Percent","91.2"
"Waterford School District","901180280","2010-2011","Still Enrolled After Four Years Count","Number","7"
"Waterford School District","901180280","2010-2011","Still Enrolled After Four Years Rate","Percent","2.6"
"Waterford School District","901180280","2010-2011","Other Count","Number","17"
"Waterford School District","901180280","2010-2011","Other Rate","Percent","6.3"
"Waterford School District","901180280","2011-2012","Total Cohort Count","Number","241"
"Waterford School District","901180280","2011-2012","Four Year Graduation Count","Number","221"
"Waterford School District","901180280","2011-2012","Four Year Graduation Rate","Percent","91.7"
"Waterford School District","901180280","2011-2012","Still Enrolled After Four Years Count","Number","7"
"Waterford School District","901180280","2011-2012","Still Enrolled After Four Years Rate","Percent","2.9"
"Waterford School District","901180280","2011-2012","Other Count","Number","13"
"Waterford School District","901180280","2011-2012","Other Rate","Percent","5.4"
"Waterford School District","901180280","2012-2013","Total Cohort Count","Number","243"
"Waterford School District","901180280","2012-2013","Four Year Graduation Count","Number","222"
"Waterford School District","901180280","2012-2013","Four Year Graduation Rate","Percent","91.4"
"Waterford School District","901180280","2012-2013","Still Enrolled After Four Years Count","Number","10"
"Waterford School District","901180280","2012-2013","Still Enrolled After Four Years Rate","Percent","4.1"
"Waterford School District","901180280","2012-2013","Other Count","Number","11"
"Waterford School District","901180280","2012-2013","Other Rate","Percent","4.5"
"Waterford School District","901180280","2013-2014","Total Cohort Count","Number","203"
"Waterford School District","901180280","2013-2014","Four Year Graduation Count","Number","187"
"Waterford School District","901180280","2013-2014","Four Year Graduation Rate","Percent","92.1"
"Waterford School District","901180280","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Waterford School District","901180280","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Waterford School District","901180280","2013-2014","Other Count","Number","-9999"
"Waterford School District","901180280","2013-2014","Other Rate","Percent","-9999"
"Waterford School District","901180280","2014-2015","Total Cohort Count","Number","216"
"Waterford School District","901180280","2014-2015","Four Year Graduation Count","Number","201"
"Waterford School District","901180280","2014-2015","Four Year Graduation Rate","Percent","93.1"
"Waterford School District","901180280","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Waterford School District","901180280","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Waterford School District","901180280","2014-2015","Other Count","Number","-9999"
"Waterford School District","901180280","2014-2015","Other Rate","Percent","-9999"
"Waterford School District","901180280","2015-2016","Total Cohort Count","Number","187"
"Waterford School District","901180280","2015-2016","Four Year Graduation Count","Number","174"
"Waterford School District","901180280","2015-2016","Four Year Graduation Rate","Percent","93.0"
"Waterford School District","901180280","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Waterford School District","901180280","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Waterford School District","901180280","2015-2016","Other Count","Number","-9999"
"Waterford School District","901180280","2015-2016","Other Rate","Percent","-9999"
"Waterford School District","901180280","2016-2017","Total Cohort Count","Number","220"
"Waterford School District","901180280","2016-2017","Four Year Graduation Count","Number","204"
"Waterford School District","901180280","2016-2017","Four Year Graduation Rate","Percent","92.7"
"Waterford School District","901180280","2016-2017","Still Enrolled After Four Years Count","Number","-9999"
"Waterford School District","901180280","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Waterford School District","901180280","2016-2017","Other Count","Number","-9999"
"Waterford School District","901180280","2016-2017","Other Rate","Percent","-9999"
"Waterford School District","901180280","2017-2018","Total Cohort Count","Number","208"
"Waterford School District","901180280","2017-2018","Four Year Graduation Count","Number","190"
"Waterford School District","901180280","2017-2018","Four Year Graduation Rate","Percent","91.3"
"Waterford School District","901180280","2017-2018","Still Enrolled After Four Years Count","Number","9"
"Waterford School District","901180280","2017-2018","Still Enrolled After Four Years Rate","Percent","4.3"
"Waterford School District","901180280","2017-2018","Other Count","Number","9"
"Waterford School District","901180280","2017-2018","Other Rate","Percent","4.3"
"Waterford School District","901180280","2018-2019","Total Cohort Count","Number","201"
"Waterford School District","901180280","2018-2019","Four Year Graduation Count","Number","190"
"Waterford School District","901180280","2018-2019","Four Year Graduation Rate","Percent","94.5"
"Waterford School District","901180280","2018-2019","Still Enrolled After Four Years Count","Number","-9999"
"Waterford School District","901180280","2018-2019","Still Enrolled After Four Years Rate","Percent","-9999"
"Waterford School District","901180280","2018-2019","Other Count","Number","6"
"Waterford School District","901180280","2018-2019","Other Rate","Percent","3.0"
"Watertown School District","900580490","2010-2011","Total Cohort Count","Number","248"
"Watertown School District","900580490","2010-2011","Four Year Graduation Count","Number","217"
"Watertown School District","900580490","2010-2011","Four Year Graduation Rate","Percent","87.5"
"Watertown School District","900580490","2010-2011","Still Enrolled After Four Years Count","Number","17"
"Watertown School District","900580490","2010-2011","Still Enrolled After Four Years Rate","Percent","6.9"
"Watertown School District","900580490","2010-2011","Other Count","Number","14"
"Watertown School District","900580490","2010-2011","Other Rate","Percent","5.6"
"Watertown School District","900580490","2011-2012","Total Cohort Count","Number","232"
"Watertown School District","900580490","2011-2012","Four Year Graduation Count","Number","211"
"Watertown School District","900580490","2011-2012","Four Year Graduation Rate","Percent","90.9"
"Watertown School District","900580490","2011-2012","Still Enrolled After Four Years Count","Number","11"
"Watertown School District","900580490","2011-2012","Still Enrolled After Four Years Rate","Percent","4.7"
"Watertown School District","900580490","2011-2012","Other Count","Number","10"
"Watertown School District","900580490","2011-2012","Other Rate","Percent","4.3"
"Watertown School District","900580490","2012-2013","Total Cohort Count","Number","272"
"Watertown School District","900580490","2012-2013","Four Year Graduation Count","Number","236"
"Watertown School District","900580490","2012-2013","Four Year Graduation Rate","Percent","86.8"
"Watertown School District","900580490","2012-2013","Still Enrolled After Four Years Count","Number","16"
"Watertown School District","900580490","2012-2013","Still Enrolled After Four Years Rate","Percent","5.9"
"Watertown School District","900580490","2012-2013","Other Count","Number","20"
"Watertown School District","900580490","2012-2013","Other Rate","Percent","7.4"
"Watertown School District","900580490","2013-2014","Total Cohort Count","Number","230"
"Watertown School District","900580490","2013-2014","Four Year Graduation Count","Number","211"
"Watertown School District","900580490","2013-2014","Four Year Graduation Rate","Percent","91.7"
"Watertown School District","900580490","2013-2014","Still Enrolled After Four Years Count","Number","11"
"Watertown School District","900580490","2013-2014","Still Enrolled After Four Years Rate","Percent","4.8"
"Watertown School District","900580490","2013-2014","Other Count","Number","8"
"Watertown School District","900580490","2013-2014","Other Rate","Percent","3.5"
"Watertown School District","900580490","2014-2015","Total Cohort Count","Number","205"
"Watertown School District","900580490","2014-2015","Four Year Graduation Count","Number","181"
"Watertown School District","900580490","2014-2015","Four Year Graduation Rate","Percent","88.3"
"Watertown School District","900580490","2014-2015","Still Enrolled After Four Years Count","Number","13"
"Watertown School District","900580490","2014-2015","Still Enrolled After Four Years Rate","Percent","6.3"
"Watertown School District","900580490","2014-2015","Other Count","Number","11"
"Watertown School District","900580490","2014-2015","Other Rate","Percent","5.4"
"Watertown School District","900580490","2015-2016","Total Cohort Count","Number","227"
"Watertown School District","900580490","2015-2016","Four Year Graduation Count","Number","218"
"Watertown School District","900580490","2015-2016","Four Year Graduation Rate","Percent","96.0"
"Watertown School District","900580490","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Watertown School District","900580490","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Watertown School District","900580490","2015-2016","Other Count","Number","-9999"
"Watertown School District","900580490","2015-2016","Other Rate","Percent","-9999"
"Watertown School District","900580490","2016-2017","Total Cohort Count","Number","216"
"Watertown School District","900580490","2016-2017","Four Year Graduation Count","Number","198"
"Watertown School District","900580490","2016-2017","Four Year Graduation Rate","Percent","91.7"
"Watertown School District","900580490","2016-2017","Still Enrolled After Four Years Count","Number","10"
"Watertown School District","900580490","2016-2017","Still Enrolled After Four Years Rate","Percent","4.6"
"Watertown School District","900580490","2016-2017","Other Count","Number","8"
"Watertown School District","900580490","2016-2017","Other Rate","Percent","3.7"
"Watertown School District","900580490","2017-2018","Total Cohort Count","Number","218"
"Watertown School District","900580490","2017-2018","Four Year Graduation Count","Number","200"
"Watertown School District","900580490","2017-2018","Four Year Graduation Rate","Percent","91.7"
"Watertown School District","900580490","2017-2018","Still Enrolled After Four Years Count","Number","10"
"Watertown School District","900580490","2017-2018","Still Enrolled After Four Years Rate","Percent","4.6"
"Watertown School District","900580490","2017-2018","Other Count","Number","8"
"Watertown School District","900580490","2017-2018","Other Rate","Percent","3.7"
"Watertown School District","900580490","2018-2019","Total Cohort Count","Number","219"
"Watertown School District","900580490","2018-2019","Four Year Graduation Count","Number","190"
"Watertown School District","900580490","2018-2019","Four Year Graduation Rate","Percent","86.8"
"Watertown School District","900580490","2018-2019","Still Enrolled After Four Years Count","Number","19"
"Watertown School District","900580490","2018-2019","Still Enrolled After Four Years Rate","Percent","8.7"
"Watertown School District","900580490","2018-2019","Other Count","Number","10"
"Watertown School District","900580490","2018-2019","Other Rate","Percent","4.6"
"West Hartford School District","900382590","2010-2011","Total Cohort Count","Number","829"
"West Hartford School District","900382590","2010-2011","Four Year Graduation Count","Number","749"
"West Hartford School District","900382590","2010-2011","Four Year Graduation Rate","Percent","90.3"
"West Hartford School District","900382590","2010-2011","Still Enrolled After Four Years Count","Number","40"
"West Hartford School District","900382590","2010-2011","Still Enrolled After Four Years Rate","Percent","4.8"
"West Hartford School District","900382590","2010-2011","Other Count","Number","40"
"West Hartford School District","900382590","2010-2011","Other Rate","Percent","4.8"
"West Hartford School District","900382590","2011-2012","Total Cohort Count","Number","753"
"West Hartford School District","900382590","2011-2012","Four Year Graduation Count","Number","698"
"West Hartford School District","900382590","2011-2012","Four Year Graduation Rate","Percent","92.7"
"West Hartford School District","900382590","2011-2012","Still Enrolled After Four Years Count","Number","28"
"West Hartford School District","900382590","2011-2012","Still Enrolled After Four Years Rate","Percent","3.7"
"West Hartford School District","900382590","2011-2012","Other Count","Number","27"
"West Hartford School District","900382590","2011-2012","Other Rate","Percent","3.6"
"West Hartford School District","900382590","2012-2013","Total Cohort Count","Number","835"
"West Hartford School District","900382590","2012-2013","Four Year Graduation Count","Number","778"
"West Hartford School District","900382590","2012-2013","Four Year Graduation Rate","Percent","93.2"
"West Hartford School District","900382590","2012-2013","Still Enrolled After Four Years Count","Number","24"
"West Hartford School District","900382590","2012-2013","Still Enrolled After Four Years Rate","Percent","2.9"
"West Hartford School District","900382590","2012-2013","Other Count","Number","33"
"West Hartford School District","900382590","2012-2013","Other Rate","Percent","4.0"
"West Hartford School District","900382590","2013-2014","Total Cohort Count","Number","741"
"West Hartford School District","900382590","2013-2014","Four Year Graduation Count","Number","697"
"West Hartford School District","900382590","2013-2014","Four Year Graduation Rate","Percent","94.1"
"West Hartford School District","900382590","2013-2014","Still Enrolled After Four Years Count","Number","26"
"West Hartford School District","900382590","2013-2014","Still Enrolled After Four Years Rate","Percent","3.5"
"West Hartford School District","900382590","2013-2014","Other Count","Number","18"
"West Hartford School District","900382590","2013-2014","Other Rate","Percent","2.4"
"West Hartford School District","900382590","2014-2015","Total Cohort Count","Number","738"
"West Hartford School District","900382590","2014-2015","Four Year Graduation Count","Number","688"
"West Hartford School District","900382590","2014-2015","Four Year Graduation Rate","Percent","93.2"
"West Hartford School District","900382590","2014-2015","Still Enrolled After Four Years Count","Number","28"
"West Hartford School District","900382590","2014-2015","Still Enrolled After Four Years Rate","Percent","3.8"
"West Hartford School District","900382590","2014-2015","Other Count","Number","22"
"West Hartford School District","900382590","2014-2015","Other Rate","Percent","3.0"
"West Hartford School District","900382590","2015-2016","Total Cohort Count","Number","775"
"West Hartford School District","900382590","2015-2016","Four Year Graduation Count","Number","728"
"West Hartford School District","900382590","2015-2016","Four Year Graduation Rate","Percent","93.9"
"West Hartford School District","900382590","2015-2016","Still Enrolled After Four Years Count","Number","34"
"West Hartford School District","900382590","2015-2016","Still Enrolled After Four Years Rate","Percent","4.4"
"West Hartford School District","900382590","2015-2016","Other Count","Number","13"
"West Hartford School District","900382590","2015-2016","Other Rate","Percent","1.7"
"West Hartford School District","900382590","2016-2017","Total Cohort Count","Number","775"
"West Hartford School District","900382590","2016-2017","Four Year Graduation Count","Number","722"
"West Hartford School District","900382590","2016-2017","Four Year Graduation Rate","Percent","93.2"
"West Hartford School District","900382590","2016-2017","Still Enrolled After Four Years Count","Number","39"
"West Hartford School District","900382590","2016-2017","Still Enrolled After Four Years Rate","Percent","5.0"
"West Hartford School District","900382590","2016-2017","Other Count","Number","14"
"West Hartford School District","900382590","2016-2017","Other Rate","Percent","1.8"
"West Hartford School District","900382590","2017-2018","Total Cohort Count","Number","751"
"West Hartford School District","900382590","2017-2018","Four Year Graduation Count","Number","700"
"West Hartford School District","900382590","2017-2018","Four Year Graduation Rate","Percent","93.2"
"West Hartford School District","900382590","2017-2018","Still Enrolled After Four Years Count","Number","41"
"West Hartford School District","900382590","2017-2018","Still Enrolled After Four Years Rate","Percent","5.5"
"West Hartford School District","900382590","2017-2018","Other Count","Number","10"
"West Hartford School District","900382590","2017-2018","Other Rate","Percent","1.3"
"West Hartford School District","900382590","2018-2019","Total Cohort Count","Number","775"
"West Hartford School District","900382590","2018-2019","Four Year Graduation Count","Number","730"
"West Hartford School District","900382590","2018-2019","Four Year Graduation Rate","Percent","94.2"
"West Hartford School District","900382590","2018-2019","Still Enrolled After Four Years Count","Number","34"
"West Hartford School District","900382590","2018-2019","Still Enrolled After Four Years Rate","Percent","4.4"
"West Hartford School District","900382590","2018-2019","Other Count","Number","11"
"West Hartford School District","900382590","2018-2019","Other Rate","Percent","1.4"
"West Haven School District","900982870","2010-2011","Total Cohort Count","Number","460"
"West Haven School District","900982870","2010-2011","Four Year Graduation Count","Number","313"
"West Haven School District","900982870","2010-2011","Four Year Graduation Rate","Percent","68.0"
"West Haven School District","900982870","2010-2011","Still Enrolled After Four Years Count","Number","32"
"West Haven School District","900982870","2010-2011","Still Enrolled After Four Years Rate","Percent","7.0"
"West Haven School District","900982870","2010-2011","Other Count","Number","115"
"West Haven School District","900982870","2010-2011","Other Rate","Percent","25.0"
"West Haven School District","900982870","2011-2012","Total Cohort Count","Number","391"
"West Haven School District","900982870","2011-2012","Four Year Graduation Count","Number","282"
"West Haven School District","900982870","2011-2012","Four Year Graduation Rate","Percent","72.1"
"West Haven School District","900982870","2011-2012","Still Enrolled After Four Years Count","Number","17"
"West Haven School District","900982870","2011-2012","Still Enrolled After Four Years Rate","Percent","4.3"
"West Haven School District","900982870","2011-2012","Other Count","Number","92"
"West Haven School District","900982870","2011-2012","Other Rate","Percent","23.5"
"West Haven School District","900982870","2012-2013","Total Cohort Count","Number","439"
"West Haven School District","900982870","2012-2013","Four Year Graduation Count","Number","306"
"West Haven School District","900982870","2012-2013","Four Year Graduation Rate","Percent","69.7"
"West Haven School District","900982870","2012-2013","Still Enrolled After Four Years Count","Number","34"
"West Haven School District","900982870","2012-2013","Still Enrolled After Four Years Rate","Percent","7.7"
"West Haven School District","900982870","2012-2013","Other Count","Number","99"
"West Haven School District","900982870","2012-2013","Other Rate","Percent","22.6"
"West Haven School District","900982870","2013-2014","Total Cohort Count","Number","424"
"West Haven School District","900982870","2013-2014","Four Year Graduation Count","Number","312"
"West Haven School District","900982870","2013-2014","Four Year Graduation Rate","Percent","73.6"
"West Haven School District","900982870","2013-2014","Still Enrolled After Four Years Count","Number","40"
"West Haven School District","900982870","2013-2014","Still Enrolled After Four Years Rate","Percent","9.4"
"West Haven School District","900982870","2013-2014","Other Count","Number","72"
"West Haven School District","900982870","2013-2014","Other Rate","Percent","17.0"
"West Haven School District","900982870","2014-2015","Total Cohort Count","Number","424"
"West Haven School District","900982870","2014-2015","Four Year Graduation Count","Number","329"
"West Haven School District","900982870","2014-2015","Four Year Graduation Rate","Percent","77.6"
"West Haven School District","900982870","2014-2015","Still Enrolled After Four Years Count","Number","19"
"West Haven School District","900982870","2014-2015","Still Enrolled After Four Years Rate","Percent","4.5"
"West Haven School District","900982870","2014-2015","Other Count","Number","76"
"West Haven School District","900982870","2014-2015","Other Rate","Percent","17.9"
"West Haven School District","900982870","2015-2016","Total Cohort Count","Number","465"
"West Haven School District","900982870","2015-2016","Four Year Graduation Count","Number","360"
"West Haven School District","900982870","2015-2016","Four Year Graduation Rate","Percent","77.4"
"West Haven School District","900982870","2015-2016","Still Enrolled After Four Years Count","Number","31"
"West Haven School District","900982870","2015-2016","Still Enrolled After Four Years Rate","Percent","6.7"
"West Haven School District","900982870","2015-2016","Other Count","Number","73"
"West Haven School District","900982870","2015-2016","Other Rate","Percent","15.7"
"West Haven School District","900982870","2016-2017","Total Cohort Count","Number","420"
"West Haven School District","900982870","2016-2017","Four Year Graduation Count","Number","316"
"West Haven School District","900982870","2016-2017","Four Year Graduation Rate","Percent","75.2"
"West Haven School District","900982870","2016-2017","Still Enrolled After Four Years Count","Number","35"
"West Haven School District","900982870","2016-2017","Still Enrolled After Four Years Rate","Percent","8.3"
"West Haven School District","900982870","2016-2017","Other Count","Number","69"
"West Haven School District","900982870","2016-2017","Other Rate","Percent","16.4"
"West Haven School District","900982870","2017-2018","Total Cohort Count","Number","416"
"West Haven School District","900982870","2017-2018","Four Year Graduation Count","Number","342"
"West Haven School District","900982870","2017-2018","Four Year Graduation Rate","Percent","82.2"
"West Haven School District","900982870","2017-2018","Still Enrolled After Four Years Count","Number","26"
"West Haven School District","900982870","2017-2018","Still Enrolled After Four Years Rate","Percent","6.3"
"West Haven School District","900982870","2017-2018","Other Count","Number","48"
"West Haven School District","900982870","2017-2018","Other Rate","Percent","11.5"
"West Haven School District","900982870","2018-2019","Total Cohort Count","Number","444"
"West Haven School District","900982870","2018-2019","Four Year Graduation Count","Number","369"
"West Haven School District","900982870","2018-2019","Four Year Graduation Rate","Percent","83.1"
"West Haven School District","900982870","2018-2019","Still Enrolled After Four Years Count","Number","18"
"West Haven School District","900982870","2018-2019","Still Enrolled After Four Years Rate","Percent","4.1"
"West Haven School District","900982870","2018-2019","Other Count","Number","57"
"West Haven School District","900982870","2018-2019","Other Rate","Percent","12.8"
"Westbrook School District","900781680","2010-2011","Total Cohort Count","Number","75"
"Westbrook School District","900781680","2010-2011","Four Year Graduation Count","Number","71"
"Westbrook School District","900781680","2010-2011","Four Year Graduation Rate","Percent","94.7"
"Westbrook School District","900781680","2010-2011","Still Enrolled After Four Years Count","Number","-9999"
"Westbrook School District","900781680","2010-2011","Still Enrolled After Four Years Rate","Percent","-9999"
"Westbrook School District","900781680","2010-2011","Other Count","Number","-9999"
"Westbrook School District","900781680","2010-2011","Other Rate","Percent","-9999"
"Westbrook School District","900781680","2011-2012","Total Cohort Count","Number","82"
"Westbrook School District","900781680","2011-2012","Four Year Graduation Count","Number","75"
"Westbrook School District","900781680","2011-2012","Four Year Graduation Rate","Percent","91.5"
"Westbrook School District","900781680","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Westbrook School District","900781680","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Westbrook School District","900781680","2011-2012","Other Count","Number","-9999"
"Westbrook School District","900781680","2011-2012","Other Rate","Percent","-9999"
"Westbrook School District","900781680","2012-2013","Total Cohort Count","Number","78"
"Westbrook School District","900781680","2012-2013","Four Year Graduation Count","Number","75"
"Westbrook School District","900781680","2012-2013","Four Year Graduation Rate","Percent","96.2"
"Westbrook School District","900781680","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Westbrook School District","900781680","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Westbrook School District","900781680","2012-2013","Other Count","Number","-9999"
"Westbrook School District","900781680","2012-2013","Other Rate","Percent","-9999"
"Westbrook School District","900781680","2013-2014","Total Cohort Count","Number","72"
"Westbrook School District","900781680","2013-2014","Four Year Graduation Count","Number","69"
"Westbrook School District","900781680","2013-2014","Four Year Graduation Rate","Percent","95.8"
"Westbrook School District","900781680","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Westbrook School District","900781680","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Westbrook School District","900781680","2013-2014","Other Count","Number","-9999"
"Westbrook School District","900781680","2013-2014","Other Rate","Percent","-9999"
"Westbrook School District","900781680","2014-2015","Total Cohort Count","Number","78"
"Westbrook School District","900781680","2014-2015","Four Year Graduation Count","Number","76"
"Westbrook School District","900781680","2014-2015","Four Year Graduation Rate","Percent","97.4"
"Westbrook School District","900781680","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Westbrook School District","900781680","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Westbrook School District","900781680","2014-2015","Other Count","Number","-9999"
"Westbrook School District","900781680","2014-2015","Other Rate","Percent","-9999"
"Westbrook School District","900781680","2015-2016","Total Cohort Count","Number","63"
"Westbrook School District","900781680","2015-2016","Four Year Graduation Count","Number","59"
"Westbrook School District","900781680","2015-2016","Four Year Graduation Rate","Percent","93.7"
"Westbrook School District","900781680","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Westbrook School District","900781680","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Westbrook School District","900781680","2015-2016","Other Count","Number","-9999"
"Westbrook School District","900781680","2015-2016","Other Rate","Percent","-9999"
"Westbrook School District","900781680","2016-2017","Total Cohort Count","Number","74"
"Westbrook School District","900781680","2016-2017","Four Year Graduation Count","Number","68"
"Westbrook School District","900781680","2016-2017","Four Year Graduation Rate","Percent","91.9"
"Westbrook School District","900781680","2016-2017","Still Enrolled After Four Years Count","Number","-9999"
"Westbrook School District","900781680","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Westbrook School District","900781680","2016-2017","Other Count","Number","-9999"
"Westbrook School District","900781680","2016-2017","Other Rate","Percent","-9999"
"Westbrook School District","900781680","2017-2018","Total Cohort Count","Number","90"
"Westbrook School District","900781680","2017-2018","Four Year Graduation Count","Number","83"
"Westbrook School District","900781680","2017-2018","Four Year Graduation Rate","Percent","92.2"
"Westbrook School District","900781680","2017-2018","Still Enrolled After Four Years Count","Number","-9999"
"Westbrook School District","900781680","2017-2018","Still Enrolled After Four Years Rate","Percent","-9999"
"Westbrook School District","900781680","2017-2018","Other Count","Number","-9999"
"Westbrook School District","900781680","2017-2018","Other Rate","Percent","-9999"
"Westbrook School District","900781680","2018-2019","Total Cohort Count","Number","61"
"Westbrook School District","900781680","2018-2019","Four Year Graduation Count","Number","53"
"Westbrook School District","900781680","2018-2019","Four Year Graduation Rate","Percent","86.9"
"Westbrook School District","900781680","2018-2019","Still Enrolled After Four Years Count","Number","7"
"Westbrook School District","900781680","2018-2019","Still Enrolled After Four Years Rate","Percent","11.5"
"Westbrook School District","900781680","2018-2019","Other Count","Number","-9999"
"Westbrook School District","900781680","2018-2019","Other Rate","Percent","-9999"
"Western Connecticut Regional Educational Services","","2010-2011","Total Cohort Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2010-2011","Four Year Graduation Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2010-2011","Other Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2010-2011","Other Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2011-2012","Total Cohort Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2011-2012","Four Year Graduation Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2011-2012","Other Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2011-2012","Other Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2012-2013","Total Cohort Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2012-2013","Four Year Graduation Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2012-2013","Other Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2012-2013","Other Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2013-2014","Total Cohort Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2013-2014","Four Year Graduation Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2013-2014","Other Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2013-2014","Other Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2014-2015","Total Cohort Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2014-2015","Four Year Graduation Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2014-2015","Other Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2014-2015","Other Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2015-2016","Total Cohort Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2015-2016","Four Year Graduation Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2015-2016","Other Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2015-2016","Other Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2016-2017","Total Cohort Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2016-2017","Four Year Graduation Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2016-2017","Other Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2016-2017","Other Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2017-2018","Total Cohort Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2017-2018","Four Year Graduation Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2017-2018","Other Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2017-2018","Other Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2018-2019","Total Cohort Count","Number","-6666"
