Facility Code,District Name,School Name,CAPT School Classification,SPI OVERALL 2013,SPI OVERALL Status,Black SPI OVERALL 2013,Black SPI OVERALL Status,Hispanic SPI OVERALL 2013,Hispanic SPI OVERALL Status,ELL SPI OVERALL 2013,ELL SPI OVERALL Status,FRL SPI OVERALL 2013,FRL SPI OVERALL Status,SWD SPI OVERALL 2013,SWD SPI OVERALL Status,High Needs SPI OVERALL 2013,High Needs SPI OVERALL Status,SPI MATH 2013,SPI MATH Target Status,SPI READ 2013,SPI READ Status,SPI WRITE 2013,SPI WRITE Status,SPI SCIENCE 2013,SPI SCIENCE Status
0646611,Hartford School District,Pathways Academy of Technology and Design,PROGRESSING,68.9,Yes,62.1,Yes,65.4,Yes,,,,n/a,,,63.4,Yes,66,Yes,64.6,Yes,79,Yes,69.8,Yes
0646711,Hartford School District,University High School,TRANSITIONING,78.6,Yes,71.1,No,67.5,No,,,68.9,No,,,67.2,No,73.8,No,73.4,Yes,86.3,Yes,82.7,Yes
0646911,Hartford School District,Capital Preparatory Magnet School,TRANSITIONING,69.7,No,63.1,No,,,,,,n/a,,,52.6,No,61.4,No,65.7,No,82.7,No,74.4,Yes
0647111,Hartford School District,Bulkeley High School Upper School,REVIEW,,,,,,,,,,,,,,,,,,,,,,
0647211,Hartford School District,HPHS Academy of Engineering and Green Technology,REVIEW,32.5,No,46.7,Yes,25.2,No,17,No,32.6,No,,n/a,32.6,No,25.7,No,35,No,39.4,No,33.9,Yes
0647411,Hartford School District,HPHS Law and Government Academy,FOCUS,41.3,No,43.6,No,39.7,No,,n/a,41.8,No,,n/a,41.3,No,30.5,No,39.4,No,63,Yes,41.8,Yes
0647511,Hartford School District,HPHS Academy of Nursing and Health Science,REVIEW,39.4,No,43.2,No,36.1,No,30.5,Yes,39.4,No,,n/a,39.4,No,29.1,No,36.4,No,54.9,No,43,Yes
0647611,Hartford School District,High School Inc.,REVIEW,45.1,Yes,46.3,Yes,43.7,Yes,,n/a,40.7,No,,n/a,40.1,No,33.1,No,44.5,No,66.8,Yes,45.9,Yes
0647711,Hartford School District,Journalism and Media Academy Magnet School,REVIEW,32.9,No,33.1,No,,,,,32.9,No,,,32.9,No,25.5,No,36.1,No,42.5,No,32.8,No
0647811,Hartford School District,OPPortunity High School,FOCUS,37.7,Yes,,,34.5,Yes,,,37.7,Yes,,,37.7,Yes,34,Yes,38.8,Yes,48.7,No,30.6,Yes
0647911,Hartford School District,Great Path Academy Middle College High School at MCC,REVIEW,61.4,n/a,59.9,n/a,,,,,56,n/a,,,54.7,n/a,48.3,n/a,65.3,n/a,82.2,n/a,61.9,n/a
0696111,Killingly School District,Killingly High School,TRANSITIONING,69.8,Yes,,,,,,,63,Yes,33.4,Yes,59.9,Yes,61.7,No,67.7,No,78.8,Yes,73.9,Yes
0716211,Lebanon School District,Lyman Memorial High School,TRANSITIONING,79.4,Yes,,,,,,,,,,,53.8,No,77,Yes,74.3,No,88.6,Yes,79.2,No
0726111,Ledyard School District,Ledyard High School,TRANSITIONING,82.1,No,,,,,,,76.3,Yes,56.5,No,69,No,80.7,No,77.3,No,86.5,No,86.6,Yes
0736011,Lisbon School District,Community Connection - The Big Picture High School,PROGRESSING,,,,,,,,,,,,,,,,,,,,,,
0746111,Litchfield School District,Litchfield High School,TRANSITIONING,87.9,No,,,,,,,,,,,,,86,Yes,85.6,No,91.7,Yes,90.7,Yes
0766111,Madison School District,Daniel Hand High School,PROGRESSING,92.2,Yes,,,,,,,,,74.5,Yes,75.5,Yes,90.5,Yes,93.5,Yes,95.4,Yes,90.4,Yes
0776111,Manchester School District,Manchester High School,TRANSITIONING,64.8,No,54.8,No,46.7,No,,n/a,54.9,No,26.3,No,53.4,No,58.6,No,62.9,No,78.8,No,66.6,No
0806111,Meriden School District,Francis T. Maloney High School,REVIEW,58.3,No,45.2,No,46.8,No,23.8,No,49.2,Yes,26.4,No,47.6,No,52.4,No,58.6,Yes,69.4,Yes,59.4,No
0806211,Meriden School District,Orville H. Platt High School,REVIEW,54.1,No,53.2,No,46.6,No,,,47.4,No,28.3,No,47.3,No,44.6,No,54.9,No,70,No,53,No
0836211,Middletown School District,Middletown High School,TRANSITIONING,70.3,Yes,60.8,Yes,50.7,No,,,58.8,Yes,22,No,56,Yes,65.7,No,68.8,Yes,82.9,Yes,68.8,No
0846211,Milford School District,Jonathan Law High School,TRANSITIONING,74.2,Yes,,,64.8,Yes,,,64.7,Yes,43.3,No,60.7,Yes,71.7,Yes,72.7,Yes,81.6,Yes,75.9,Yes
0846311,Milford School District,Joseph A. Foran High School,TRANSITIONING,83.4,Yes,,,,,,,66.6,No,55.1,Yes,66.2,Yes,78.1,Yes,83.3,Yes,90.3,Yes,84,Yes
0856111,Monroe School District,Masuk High School,EXCELLING,92.1,Yes,,,90.5,n/a,,,85,Yes,65.2,Yes,76.2,Yes,91.2,Yes,88.7,Yes,96.6,Yes,93.1,Yes
0866111,Montville School District,Montville High School,TRANSITIONING,74.9,No,,,,,,,60.2,No,,,55.9,No,70.3,No,69.7,No,82.8,No,78.2,Yes
0886111,Naugatuck School District,Naugatuck High School,TRANSITIONING,68.1,No,53.7,No,62.9,No,,,63,No,32.9,No,58.1,No,63.3,No,66.1,No,78,No,67.6,No
0896111,New Britain School District,New Britain High School,FOCUS,42.1,No,41.6,No,34.3,No,21.7,No,36.2,No,14.6,No,35.8,No,36.8,No,42.6,No,59.2,No,37.3,No
0906111,New Canaan School District,New Canaan High School,PROGRESSING,94.1,Yes,,,,,,,,,63.7,No,65.9,No,92.7,Yes,94.1,Yes,96.8,Yes,93.3,Yes
0916111,New Fairfield School District,New Fairfield High School,TRANSITIONING,83.5,No,,,,,,,72.5,No,47.5,No,60.8,No,81.4,No,77.4,No,91,Yes,85.1,No
0931711,New Haven School District,Engineering - Science University Magnet School,PROGRESSING,72.3,n/a,64.4,n/a,,,,,68.7,n/a,,,65.7,n/a,69,n/a,67.8,n/a,77.9,n/a,79.4,n/a
0936011,New Haven School District,Metropolitan Business High School,REVIEW,59.5,Yes,49.8,No,49.1,No,,,54.6,Yes,,,53.9,Yes,52.3,Yes,55.4,No,76.3,Yes,57,Yes
0936111,New Haven School District,Wilbur Cross High School,TURNAROUND,43.5,No,40,No,40,No,18.5,No,38.1,No,23.8,No,36.9,No,38.7,No,40.9,No,59,No,48.9,No
0936211,New Haven School District,James Hillhouse High School,TURNAROUND,38.9,No,39.2,No,35.3,No,23.1,No,36.1,No,14.9,No,35.5,No,31.9,No,36.5,No,54.8,No,41.4,Yes
0936311,New Haven School District,Hill Regional Career High School,TRANSITIONING,69.3,Yes,60,No,73.1,Yes,,,65.2,No,,,64,No,61.5,Yes,67.7,No,84.6,Yes,69.6,Yes
